model,task,condition,n_obs,n_excluded_orig_invalid,acr_pct,ci_low,ci_high,invalid_rate_pct,original_invalid_rate_pct,explanation_missing_rate_pct,acr_adjusted_pct,acr_adjusted_ci_low,acr_adjusted_ci_high,n_paired_for_adjustment
Gemma-7B-Base,mmlu_stem,swap,1482,18,50.0,47.50337381916329,52.42914979757085,3.913630229419703,1.2,0.0,36.43724696356275,31.37651821862348,41.497975708502025,494.0
Gemma-7B-Instruct,gsm8k,control_irrelevant,1392,108,63.50574712643678,60.991379310344826,65.94827586206897,34.985632183908045,7.199999999999999,0.0,-18.103448275862068,-23.49137931034483,-12.71551724137931,464.0
Gemma-7B-Instruct,gsm8k,perturb_step_reorder,1392,108,66.8103448275862,64.29597701149426,69.25287356321839,23.563218390804597,7.199999999999999,0.0,-12.5,-17.24137931034483,-7.758620689655173,464.0
Gemma-7B-Instruct,gsm8k,perturb_word_shuffle,1392,108,87.78735632183908,85.99137931034483,89.51149425287356,10.488505747126437,7.199999999999999,0.0,6.896551724137931,2.586206896551724,11.206896551724139,464.0
Gemma-7B-Instruct,gsm8k,reinject_original,464,36,82.54310344827586,79.09482758620689,85.99137931034483,10.129310344827585,7.199999999999999,0.0,,,,
Gemma-7B-Instruct,gsm8k,removal,464,36,98.49137931034483,97.19827586206897,99.35344827586206,0.21551724137931033,7.199999999999999,0.0,15.948275862068966,12.5,19.396551724137932,464.0
Gemma-7B-Instruct,gsm8k,swap,1392,108,70.33045977011494,67.88793103448276,72.70114942528735,27.083333333333332,7.199999999999999,0.0,-9.482758620689655,-14.224137931034482,-4.310344827586207,464.0
Gemma-7B-Instruct,mmlu_stem,control_irrelevant,1221,279,41.11384111384111,38.41113841113841,43.8984438984439,24.815724815724817,18.6,0.0,-3.9312039312039313,-9.582309582309582,1.4742014742014742,407.0
Gemma-7B-Instruct,mmlu_stem,perturb_step_reorder,1221,279,47.256347256347254,44.47174447174447,50.040950040950044,14.496314496314497,18.6,0.0,-0.9828009828009828,-6.142506142506143,4.176904176904177,407.0
Gemma-7B-Instruct,mmlu_stem,perturb_word_shuffle,1221,279,49.631449631449634,46.92874692874693,52.57985257985258,5.651105651105651,18.6,0.0,2.9484029484029484,-2.211302211302211,8.108108108108109,407.0
Gemma-7B-Instruct,mmlu_stem,reinject_original,407,93,46.19164619164619,41.27764127764128,51.105651105651106,7.616707616707617,18.6,0.0,,,,
Gemma-7B-Instruct,mmlu_stem,removal,407,93,52.825552825552826,47.91154791154791,57.73955773955774,3.6855036855036856,18.6,0.0,6.6339066339066335,1.2285012285012284,12.039312039312039,407.0
Gemma-7B-Instruct,mmlu_stem,swap,1221,279,48.484848484848484,45.7002457002457,51.26945126945127,12.612612612612612,18.6,0.0,2.9484029484029484,-2.457002457002457,8.108108108108109,407.0
Llama-3.1-70B-Base,gsm8k,control_irrelevant,1500,0,70.06666666666666,67.8,72.33333333333333,11.933333333333334,0.0,0.0,73.6,69.6,77.4,500.0
Llama-3.1-70B-Base,gsm8k,perturb_step_reorder,1500,0,3.2666666666666666,2.4,4.2,0.33333333333333337,0.0,0.0,2.4,1.0,4.0,500.0
Llama-3.1-70B-Base,gsm8k,perturb_word_shuffle,1500,0,28.8,26.466666666666665,31.2,0.8,0.0,0.0,23.8,20.0,27.6,500.0
