right_to_wrong,wrong_to_right,wrong_to_wrong_diff,no_change_correct,no_change_incorrect,model,task,condition,n_valid
17.208672086720867,13.617886178861788,13.753387533875339,38.68563685636856,16.73441734417344,Llama-3.1-8B-Base,mmlu_stem,control_irrelevant,1476
5.08130081300813,5.013550135501355,5.013550135501355,50.8130081300813,34.078590785907856,Llama-3.1-8B-Base,mmlu_stem,perturb_step_reorder,1476
8.672086720867208,9.417344173441734,9.34959349593496,47.22222222222222,25.338753387533874,Llama-3.1-8B-Base,mmlu_stem,perturb_word_shuffle,1476
3.4552845528455283,3.861788617886179,4.065040650406504,52.4390243902439,36.17886178861789,Llama-3.1-8B-Base,mmlu_stem,reinject_original,492
15.65040650406504,14.43089430894309,11.991869918699187,40.24390243902439,17.682926829268293,Llama-3.1-8B-Base,mmlu_stem,removal,492
19.565217391304348,12.907608695652174,14.53804347826087,36.34510869565217,16.644021739130434,Llama-3.1-8B-Base,mmlu_stem,swap,1472
29.133333333333333,9.0,14.6,40.06666666666667,7.2,Llama-3.1-8B-Instruct,gsm8k,control_irrelevant,1500
34.93333333333333,4.333333333333333,12.866666666666667,34.266666666666666,13.6,Llama-3.1-8B-Instruct,gsm8k,perturb_step_reorder,1500
31.0,6.8,16.533333333333335,38.2,7.466666666666667,Llama-3.1-8B-Instruct,gsm8k,perturb_word_shuffle,1500
30.6,5.0,9.6,38.6,16.2,Llama-3.1-8B-Instruct,gsm8k,reinject_original,500
28.0,8.4,14.4,41.2,8.0,Llama-3.1-8B-Instruct,gsm8k,removal,500
30.533333333333335,8.466666666666667,16.0,38.666666666666664,6.333333333333333,Llama-3.1-8B-Instruct,gsm8k,swap,1500
23.68421052631579,7.483552631578948,9.375,40.70723684210526,18.75,Llama-3.1-8B-Instruct,mmlu_stem,control_irrelevant,1216
9.687261632341723,3.9664378337147217,5.491990846681922,55.1487414187643,25.70556826849733,Llama-3.1-8B-Instruct,mmlu_stem,perturb_step_reorder,1311
19.446704637917005,8.0553295362083,7.8112286411716845,45.32139951179821,19.3653376729048,Llama-3.1-8B-Instruct,mmlu_stem,perturb_word_shuffle,1229
2.6143790849673203,3.7037037037037037,3.0501089324618738,61.43790849673203,29.193899782135077,Llama-3.1-8B-Instruct,mmlu_stem,reinject_original,459
20.145631067961165,7.766990291262136,9.70873786407767,44.1747572815534,18.203883495145632,Llama-3.1-8B-Instruct,mmlu_stem,removal,412
32.19895287958115,6.631762652705061,11.8673647469459,31.588132635253054,17.713787085514834,Llama-3.1-8B-Instruct,mmlu_stem,swap,1146
