model,task,condition_a,condition_b,n_paired,statistic,p_value,b,c
Gemma-7B-Base,gsm8k,removal,reinject_original,500,409.1896955503513,5.501857753360915e-91,423,4
Gemma-7B-Base,gsm8k,perturb_word_shuffle,perturb_step_reorder,500,166.14077669902912,5.15364942552352e-38,196,10
Gemma-7B-Base,gsm8k,perturb_word_shuffle,swap,500,260.0925925925926,1.6380727316948242e-58,2,268
Gemma-7B-Base,gsm8k,perturb_word_shuffle,control_irrelevant,500,37.286343612334804,1.019963469101917e-09,67,160
Gemma-7B-Base,gsm8k,perturb_word_shuffle,reinject_original,500,189.5734597156398,3.939454679150348e-43,206,5
Gemma-7B-Base,gsm8k,perturb_step_reorder,swap,500,450.00221238938053,7.205001974587707e-100,0,452
Gemma-7B-Base,gsm8k,perturb_step_reorder,control_irrelevant,500,255.06270627062707,2.0453485231891874e-57,12,291
Gemma-7B-Base,gsm8k,perturb_step_reorder,reinject_original,500,7.2592592592592595,0.0070536378880685854,21,6
Gemma-7B-Base,gsm8k,swap,control_irrelevant,500,169.05142857142857,1.1921949146470913e-38,174,1
Gemma-7B-Base,gsm8k,swap,reinject_original,500,465.0021413276231,3.9205912441530233e-103,467,0
Gemma-7B-Base,gsm8k,control_irrelevant,reinject_original,500,276.93225806451613,3.5004445020524807e-62,302,8
Gemma-7B-Base,mmlu_stem,removal,perturb_word_shuffle,500,21.9453125,2.8053126041729307e-06,91,37
Gemma-7B-Base,mmlu_stem,removal,perturb_step_reorder,500,70.7202380952381,4.116479007341776e-17,139,29
Gemma-7B-Base,mmlu_stem,removal,swap,500,22.24264705882353,2.4027714819917946e-06,40,96
Gemma-7B-Base,mmlu_stem,removal,control_irrelevant,500,17.781512605042018,2.4777918755991804e-05,36,83
Gemma-7B-Base,mmlu_stem,removal,reinject_original,500,84.05,4.8241840380357856e-20,152,28
Gemma-7B-Base,mmlu_stem,perturb_word_shuffle,perturb_step_reorder,500,28.537735849056602,9.189001734839272e-08,81,25
Gemma-7B-Base,mmlu_stem,perturb_word_shuffle,swap,500,68.2816091954023,1.4173672839699003e-16,32,142
Gemma-7B-Base,mmlu_stem,perturb_word_shuffle,control_irrelevant,500,62.11180124223603,3.2450090900297365e-15,30,131
Gemma-7B-Base,mmlu_stem,perturb_word_shuffle,reinject_original,500,44.083333333333336,3.146890173051438e-11,89,19
Gemma-7B-Base,mmlu_stem,perturb_step_reorder,swap,500,122.63513513513513,1.676021008864178e-28,28,194
Gemma-7B-Base,mmlu_stem,perturb_step_reorder,control_irrelevant,500,112.14746543778801,3.316980003570956e-26,30,187
Gemma-7B-Base,mmlu_stem,perturb_step_reorder,reinject_original,500,4.225,0.03983261924474148,27,13
Gemma-7B-Base,mmlu_stem,swap,control_irrelevant,500,0.6881720430107527,0.4067868333984651,51,42
Gemma-7B-Base,mmlu_stem,swap,reinject_original,500,143.04017857142858,5.7603127985994905e-33,202,22
Gemma-7B-Base,mmlu_stem,control_irrelevant,reinject_original,500,129.59641255605382,5.02170653228705e-30,197,26
Gemma-7B-Instruct,gsm8k,removal,perturb_word_shuffle,500,32.32692307692308,1.3029544616583635e-08,47,5
Gemma-7B-Instruct,gsm8k,removal,perturb_step_reorder,500,128.06716417910448,1.0850817079675487e-29,133,1
Gemma-7B-Instruct,gsm8k,removal,swap,500,110.39516129032258,8.028080168260717e-26,121,3
Gemma-7B-Instruct,gsm8k,removal,control_irrelevant,500,148.4879518072289,3.7108064711785037e-34,162,4
Gemma-7B-Instruct,gsm8k,removal,reinject_original,500,64.98780487804878,7.536302858497677e-16,78,4
Gemma-7B-Instruct,gsm8k,perturb_word_shuffle,perturb_step_reorder,500,55.00694444444444,1.2010471663734824e-13,117,27
Gemma-7B-Instruct,gsm8k,perturb_word_shuffle,swap,500,50.223214285714285,1.3721493486188206e-12,94,18
Gemma-7B-Instruct,gsm8k,perturb_word_shuffle,control_irrelevant,500,98.69402985074628,2.9468918056037855e-23,125,9
Gemma-7B-Instruct,gsm8k,perturb_word_shuffle,reinject_original,500,9.066037735849056,0.0026040070986104273,69,37
Gemma-7B-Instruct,gsm8k,perturb_step_reorder,swap,500,0.9941176470588236,0.31873806376587865,78,92
Gemma-7B-Instruct,gsm8k,perturb_step_reorder,control_irrelevant,500,3.2216494845360826,0.07267036753477313,110,84
Gemma-7B-Instruct,gsm8k,perturb_step_reorder,reinject_original,500,23.889705882352942,1.0201582063743104e-06,39,97
Gemma-7B-Instruct,gsm8k,swap,control_irrelevant,500,12.675,0.00037057721471458696,80,40
Gemma-7B-Instruct,gsm8k,swap,reinject_original,500,13.398550724637682,0.0002518187915030057,47,91
Gemma-7B-Instruct,gsm8k,control_irrelevant,reinject_original,500,38.70224719101124,4.936404049590104e-10,47,131
Gemma-7B-Instruct,mmlu_stem,removal,perturb_word_shuffle,500,3.2131147540983607,0.07305029748636327,38,23
